,Coin 0,Coin 1,Coin 2,Coin 3
3826,87.27182007--124.58358002,58.52005386--54.81732178,65.70189667--78.70359802,87.86643219--93.64067841
3827,87.34725952--124.89469910,59.53196716--54.71021652,65.36858368--78.84034729,87.96759033--93.61916351
3828,87.38481903--125.18881226,60.28392029--54.66402054,65.07785034--79.03684998,87.97964478--93.56738281
3829,87.38621521--125.45220184,60.89964676--54.63786316,64.80770874--79.27674103,87.95695496--93.49028015
3830,87.37216187--125.68399811,61.41566086--54.61970901,64.56260681--79.52799225,87.90686798--93.40794373
3831,87.34786987--125.90926361,61.86901474--54.60670090,64.32733917--79.81246185,87.81326294--93.31428528
3832,87.31268311--126.13016510,62.25664139--54.60440445,64.10166168--80.12692261,87.68647003--93.21293640
3833,87.27095795--126.33934784,62.55994797--54.61511612,63.89680862--80.45420074,87.53514862--93.11001587
3834,87.22348022--126.53717041,62.78960800--54.63437271,63.71214294--80.79056549,87.36286926--93.00769043
3835,87.17178345--126.72061157,62.94652939--54.66136551,63.55054092--81.12591553,87.17732239--92.91075134
3836,87.11598206--126.89935303,63.02672577--54.69853592,63.40981293--81.46894836,86.96585083--92.81707764
3837,87.05435181--127.07051849,62.99032211--54.75425720,63.30084229--81.81739044,86.72515869--92.72973633
3838,86.98582458--127.22198486,62.79459000--54.83378220,63.24018478--82.15609741,86.46071625--92.65565491
3839,86.90910339--127.34852600,62.40990067--54.94031143,63.23825836--82.47725677,86.17023468--92.59895325
3840,86.82156372--127.44427490,61.80997849--55.07711792,63.30384827--82.77433014,85.85424805--92.56373596
3841,86.72210693--127.50687408,60.94063950--55.25354385,63.45184326--83.04517365,85.49893188--92.55277252
3842,86.60452271--127.52545929,59.72967148--55.48044586,63.70348358--83.28303528,85.09720612--92.57266235
3843,86.45874023--127.48859406,58.15735626--55.75719452,64.06546021--83.48127747,84.65590668--92.62908173
3844,86.28039551--127.39183044,56.23852158--56.07881546,64.53511047--83.63460541,84.18195343--92.72352600
3845,86.06591797--127.23463440,54.01534653--56.43799210,65.10249329--83.74179840,83.68768311--92.85479736
3846,85.85928345--126.97513580,51.66482925--56.82141113,65.76043701--83.61196136,83.28041077--93.01481628
3847,85.65798187--126.61457062,49.18763733--57.20022583,66.50649261--83.29122925,82.95582581--93.18809509
3848,85.44227600--126.14721680,46.66611099--57.54623032,67.31507874--82.81015015,82.72932434--93.36457825
3849,85.16767883--125.63465881,44.19125366--57.91387558,68.24489594--82.24121857,82.72347260--93.56768799
3850,84.92224121--125.03712463,41.95496368--58.19716263,69.13578033--81.68059540,82.78590393--93.73585510
3851,84.67597961--124.35451508,40.92757034--58.18425751,69.67185211--81.20789337,83.06874084--93.79730225
3852,84.62516022--123.67478180,41.33619308--57.85585022,69.79821777--80.75367737,83.55113220--93.76857758
3853,84.78302002--123.12250519,43.16003799--57.26339722,69.50225830--80.28900909,84.22123718--93.68634033
3854,85.13877106--122.83974457,46.41560745--56.45592880,68.75752258--79.86686707,85.06756592--93.58184814
3855,85.70384216--122.91880035,49.77743912--55.80029678,67.96206665--79.36920929,85.89331055--93.56904602
3856,86.31398010--123.28437805,52.49985123--55.42976761,67.28488159--79.05099487,86.53378296--93.57826233
3857,86.75430298--123.70344543,54.69011307--55.20889282,66.71501160--78.85176849,87.06513977--93.58746338
3858,87.02445984--124.07010651,56.45309830--55.04845810,66.27630615--78.68978119,87.50801086--93.63031006
3859,87.20587158--124.40439606,57.84530640--54.89666367,65.90206909--78.66264343,87.76969910--93.64393616
3860,87.30902100--124.72694397,59.02077484--54.75802612,65.54184723--78.76372528,87.92298889--93.63161469
3861,87.36877441--125.03084564,59.89682388--54.68545151,65.23275757--78.92209625,87.98071289--93.60076904
3862,87.38894653--125.31098175,60.57748795--54.65043259,64.95325470--79.14041901,87.97537231--93.53456116
3863,87.38211060--125.55723572,61.14162445--54.62866592,64.69642639--79.38374329,87.94107056--93.45526886
3864,87.36336517--125.78418732,61.62458801--54.61292648,64.45767212--79.64865112,87.87072754--93.36799622
3865,87.33293915--126.01177216,62.05693817--54.60336304,64.22195435--79.95439148,87.75733185--93.26808167
3866,87.29417419--126.22691345,62.40399551--54.60826492,64.00574493--80.27494049,87.62034607--93.16617584
3867,87.25008392--126.43004608,62.67276764--54.62284851,63.81072998--80.60547638,87.46003723--93.06346130
3868,87.20092010--126.61996460,62.86926651--54.64527893,63.63724518--80.93959808,87.28308105--92.96398163
3869,87.14773560--126.80025482,62.99429703--54.67597580,63.48499298--81.27670288,87.08755493--92.86880493
3870,87.08917236--126.97937012,63.02900314--54.72076797,63.35501099--81.62722015,86.85917664--92.77604675
3871,87.02412415--127.14236450,62.92232895--54.78750610,63.26668549--81.97330475,86.60769653--92.69409943
3872,86.95201111--127.28262329,62.64572144--54.87841797,63.23133850--82.30432892,86.33268738--92.62757874
3873,86.87098694--127.39521027,62.17113876--54.99724579,63.25825119--82.61384583,86.03289795--92.58038330
3874,86.77880096--127.47673035,61.46213913--55.14975357,63.35777283--82.89882660,85.70194244--92.55549622
3875,86.67311096--127.52188873,60.43914413--55.34962082,63.55208588--83.15607452,85.32267761--92.55732727
3876,86.54260254--127.51596069,59.05953598--55.60039139,63.85457993--83.37761688,84.90142822--92.59360504
3877,86.38175964--127.45232391,57.32906342--55.89766693,64.26517487--83.55690002,84.44458008--92.66716003
3878,86.18705750--127.32888031,55.27544403--56.23555756,64.77755737--83.69048309,83.96121216--92.77806091
3879,85.97069550--127.13288879,52.97666168--56.60729980,65.38519287--83.71797943,83.49162292--92.92364502
3880,85.77020264--126.82601929,50.56504822--56.99433517,66.08592987--83.48881531,83.12422180--93.09178925
3881,85.56420898--126.41690826,48.04826736--57.36195755,66.86514282--83.09232330,82.83975220--93.26806641
3882,85.32042694--125.93196869,45.52114487--57.72562790,67.73603821--82.57083130,82.70957947--93.46050262
3883,85.04725647--125.37454987,43.13776016--58.05477524,68.65662384--81.98352051,82.74465179--93.64851379
3884,84.81001282--124.74239349,41.30952454--58.23573685,69.43049622--81.45749664,82.87966919--93.77983093
3885,84.62296295--124.04100800,40.92691803--58.07495499,69.78195190--81.00363922,83.26263428--93.79262543
3886,84.67014313--123.40071869,41.99003601--57.61577988,69.71626282--80.54573059,83.83185577--93.73533630
3887,84.92054749--122.95278168,44.46466446--56.91971970,69.21987915--80.08811951,84.58602905--93.64089966
3888,85.37406921--122.82897186,47.96600723--56.12829208,68.39299011--79.65156555,85.44785309--93.56192780
3889,85.97407532--123.04642487,51.08209229--55.59634781,67.64550781--79.18716431,86.20544434--93.57312012
3890,86.54345703--123.47624969,53.52927780--55.31393814,67.01039124--78.97455597,86.76776886--93.57095337
3891,86.88425446--123.87796783,55.53549576--55.13738632,66.50379944--78.77042389,87.28426361--93.61007690
3892,87.11706543--124.22124481,57.11875153--54.97820663,66.10363007--78.65729523,87.64932251--93.64070129
3893,87.26124573--124.54987335,58.39658737--54.83227921,65.73969269--78.69312286,87.84924316--93.64167023
3894,87.34046936--124.86389923,59.44673157--54.71669006,65.39850616--78.82595825,87.96189880--93.62150574
3895,87.38280487--125.15998840,60.21750259--54.66714859,65.10566711--79.01392365,87.98146820--93.57463074
3896,87.38747406--125.42630768,60.84261322--54.63985825,64.83444214--79.25003815,87.96182251--93.49900818
3897,87.37455750--125.66003418,61.36606979--54.62112808,64.58773804--79.49922943,87.91495514--93.41735840
3898,87.35125732--125.88557434,61.82442474--54.60758209,64.35194397--79.78022766,87.82515717--93.32477570
3899,87.31658936--126.10887146,62.22264481--54.60365677,64.12309265--80.09511566,87.69976044--93.22299194
3900,87.27532196--126.31900787,62.53344345--54.61360550,63.91619110--80.42114258,87.55137634--93.12032318
3901,87.22856903--126.51743317,62.76981735--54.63200378,63.72994995--80.75591278,87.38162994--93.01802063
3902,87.17742920--126.70162201,62.93406296--54.65803146,63.56639099--81.09037018,87.19816589--92.92077637
3903,87.12220764--126.88065338,63.02352142--54.69375992,63.42334366--81.43213654,86.98981476--92.82680511
3904,87.06108093--127.05429077,63.00152588--54.74742508,63.30967331--81.78237152,86.75028992--92.73794556
3905,86.99305725--127.20800781,62.82230759--54.82469940,63.24370575--82.12295532,86.48822021--92.66230774
3906,86.91719055--127.33698273,62.45879364--54.92808914,63.23532104--82.44585419,86.20109558--92.60378265
3907,86.83105469--127.43579102,61.88446426--55.06111145,63.29323578--82.74488831,85.88889313--92.56629944
3908,86.73320770--127.50218964,61.04782486--55.23262024,63.43146133--83.01830292,85.53857422--92.55256653
3909,86.61834717--127.52617645,59.87016678--55.45498657,63.67286301--83.25993347,85.14000702--92.56892395
3910,86.47510529--127.49501801,58.33126831--55.72735596,64.02429199--83.46294403,84.70188141--92.62167358
3911,86.29971313--127.40446472,56.44755554--56.04436874,64.48275757--83.62158966,84.23100281--92.71223450
3912,86.08885193--127.25381470,54.25790024--56.39918137,65.03913116--83.73411560,83.73890686--92.83959961
3913,85.88046265--127.00692749,51.91698456--56.78062057,65.68746185--83.63495636,83.31913757--92.99707794
3914,85.67973328--126.65658569,49.44802856--57.16212463,66.42615509--83.33147430,82.98562622--93.16987610
3915,85.46675110--126.19838715,46.92430878--57.51111984,67.22828674--82.86435699,82.74559021--93.34589386
3916,85.19697571--125.69337463,44.43391037--57.88144684,68.15035248--82.30545807,82.71775818--93.54867554
3917,84.94471741--125.10374451,42.16604233--58.17429733,69.04794312--81.73921204,82.77534485--93.72096252
3918,84.69955444--124.43103790,40.97949600--58.19995499,69.63146973--81.25492096,83.02998352--93.79658508
3919,84.62238312--123.74401093,41.23345184--57.90346146,69.80276489--80.79946899,83.49434662--93.77484894
3920,84.75856781--123.17086792,42.92002487--57.33249283,69.54888916--80.33633423,84.14666748--93.69546509
3921,85.09513092--122.85482025,46.04043198--56.54212570,68.84769440--79.90709686,84.97738647--93.59222412
3922,85.64223480--122.89710999,49.43976974--55.85888290,68.04356384--79.41984558,85.81107330--93.56732178
3923,86.25217438--123.23832703,52.24224472--55.45867920,67.35113525--79.07465363,86.47406006--93.57769012
3924,86.71925354--123.66195679,54.48276138--55.22535706,66.76498413--78.87688446,87.00862122--93.58151245
3925,86.99977112--124.03656769,56.29206848--55.06502533,66.31584167--78.70388031,87.46974182--93.62707520
3926,87.19107056--124.37104034,57.71623611--54.91155243,65.93875122--78.65879822,87.75074768--93.64410400
3927,87.30156708--124.69403839,58.91011047--54.77063751,65.57825470--78.74806976,87.91196442--93.63430023
3928,87.36467743--124.99972534,59.81524277--54.69063187,65.26396942--78.90180969,87.97875214--93.60569763
3929,87.38841248--125.28363800,60.51234055--54.65319443,64.98134613--79.11655426,87.97657776--93.54217529
3930,87.38314056--125.53386688,61.08797073--54.63067245,64.72128296--79.35945129,87.94493103--93.46327209
3931,87.36550903--125.76131439,61.57752991--54.61445999,64.48157501--79.62049103,87.87974548--93.37733459
3932,87.33656311--125.98815155,62.01476288--54.60393906,64.24608612--79.92111206,87.77091980--93.27887726
3933,87.29860687--126.20455170,62.37104034--54.60718918,64.02774811--80.24016571,87.63624573--93.17711639
3934,87.25498962--126.40947723,62.64821243--54.62087631,63.83013153--80.57063293,87.47749329--93.07409668
3935,87.20611572--126.60138702,62.85229492--54.64268112,63.65391159--80.90573883,87.30137634--92.97381592
3936,87.15327454--126.78208923,62.98457718--54.67248917,63.49964142--81.24212646,87.10855103--92.87834930
3937,87.09542847--126.96105957,63.03070450--54.71529770,63.36700821--81.59075165,86.88431549--92.78536987
3938,87.03125763--127.12600708,62.94115448--54.77933121,63.27369308--81.93730164,86.63549805--92.70212555
3939,86.96002960--127.26915741,62.68365097--54.86761093,63.23226929--82.27045441,86.36261749--92.63370514
3940,86.87998199--127.38512421,62.22944260--54.98371506,63.25254059--82.58295441,86.06468964--92.58423615
3941,86.78876495--127.46987915,61.54641342--55.13244247,63.34398651--82.87082672,85.73748779--92.55694580
3942,86.68459320--127.51927948,60.56086731--55.32657242,63.52703094--83.13135529,85.36406708--92.55570984
3943,86.55734253--127.51918793,59.22152328--55.57166672,63.81745148--83.35663605,84.94749451--92.58807373
3944,86.40031433--127.46181488,57.52648544--55.86447525,64.21719360--83.54013824,84.49392700--92.65766907
3945,86.20938110--127.34435272,55.50161743--56.19898605,64.72035980--83.67813873,84.01228333--92.76489258
3946,85.99113464--127.15921021,53.21164703--56.56847763,65.31917572--83.73336029,83.53195953--92.90757751
3947,85.78997803--126.86215210,50.81864548--56.95532227,66.00959778--83.52126312,83.15806580--93.07413483
3948,85.58576965--126.46454620,48.31023026--57.32563782,66.78163910--83.14157104,82.86425781--93.24970245
3949,85.34862518--125.98375702,45.77967834--57.68642044,67.63953400--82.62884521,82.71125793--93.43907928
3950,85.07203674--125.43307495,43.37355804--58.02298355,68.56443787--82.03713226,82.74123383--93.63023376
3951,84.83728027--124.80941010,41.40785599--58.23707581,69.37898254--81.50304413,82.84951782--93.77313232
3952,84.62605286--124.10798645,40.88639069--58.10660934,69.76864624--81.05123901,83.21276855--93.79441833
3953,84.65327454--123.45774078,41.80670929--57.67537308,69.74494934--80.59614563,83.76155853--93.74360657
3954,84.88420105--122.98374176,44.11858749--57.00674438,69.29950714--80.13176727,84.49621582--93.65318298
3955,85.31288910--122.82087708,47.62974167--56.19364166,68.47084045--79.70770264,85.36371613--93.56140137
3956,85.90878296--123.00582123,50.80936813--55.63106918,67.71353912--79.21535492,86.14247131--93.57167053
3957,86.49714661--123.43024445,53.30432510--55.33766556,67.07339478--78.98764801,86.71681213--93.57413483
3958,86.85710144--123.83710480,55.34729767--55.15327835,66.55229187--78.78499603,87.23680115--93.60559845
3959,87.09764099--124.18470001,56.97085190--54.99367905,66.14363098--78.66030121,87.62086487--93.63903809
3960,87.24990082--124.51614380,58.27000046--54.84791946,65.77774811--78.68393707,87.83074951--93.64230347
3961,87.33311462--124.83290863,59.35976028--54.72351456,65.42855072--78.81240082,87.95561981--93.62345886
3962,87.38052368--125.13077545,60.14983749--54.67044449,65.13373566--78.99114227,87.98308563--93.58177185
3963,87.38865662--125.40001678,60.78428268--54.64198685,64.86159515--79.22323608,87.96646118--93.50775146
3964,87.37686157--125.63600922,61.31573868--54.62260056,64.61299896--79.47079468,87.92251587--93.42663574
3965,87.35452271--125.86190796,61.77906418--54.60861588,64.37661743--79.74842072,87.83658600--93.33513641
3966,87.32040405--126.08757782,62.18798065--54.60302734,64.14460754--80.06366730,87.71269226--93.23295593
3967,87.27961731--126.29854584,62.50622559--54.61218643,63.93576431--80.38819122,87.56744385--93.13064575
3968,87.23363495--126.49742889,62.74917984--54.62973022,63.74807739--80.72110748,87.40034485--93.02846527
3969,87.18305206--126.68257904,62.92078781--54.65478134,63.58248901--81.05484009,87.21875000--92.93086243
3970,87.12837219--126.86190033,63.01904678--54.68920517,63.43721008--81.39543152,87.01341248--92.83657837
3971,87.06770325--127.03795624,63.01111221--54.74085236,63.31893921--81.74741364,86.77505493--92.74626160
3972,87.00017548--127.19380188,62.84812164--54.81590271,63.24779129--82.08974457,86.51544952--92.66911316
3973,86.92517090--127.32505035,62.50554276--54.91616058,63.23309326--82.41413879,86.23178101--92.60884094
3974,86.84040833--127.42693329,61.95624924--55.04548645,63.28346634--82.71512604,85.92313385--92.56913757
3975,86.74412537--127.49702454,61.15118027--55.21226501,63.41224670--82.99107361,85.57766724--92.55269623
3976,86.63185120--127.52628326,60.00641251--55.43011856,63.64351273--83.23645782,85.18223572--92.56556702
3977,86.49105835--127.50083160,58.50124741--55.69803238,63.98429489--83.44424438,84.74739075--92.61465454
3978,86.31858063--127.41648102,56.65356827--56.01028061,64.43132782--83.60819244,84.27987671--92.70132446
3979,86.11151123--127.27237701,54.49774170--56.36072159,64.97675323--83.72585297,83.79005432--92.82475281
3980,85.90144348--127.03780365,52.16696548--56.74001694,65.61544037--83.65673065,83.35831451--92.97959900
3981,85.70130920--126.69742584,49.70701218--57.12388229,66.34669495--83.37006378,83.01626587--93.15177917
3982,85.48985291--126.25020599,47.17948151--57.47832870,67.14517212--82.91849518,82.76536560--93.32841492
3983,85.22538757--125.75011444,44.67659760--57.84814072,68.05647278--82.36811829,82.71336365--93.52922821
3984,84.96718597--125.16841888,42.37971115--58.14990616,68.95987701--81.79714203,82.76554871--93.70539856
3985,84.72335815--124.50557709,41.03889847--58.21303558,69.58920288--81.30236053,82.99217224--93.79466248
3986,84.62023926--123.81289673,41.14308929--57.94796371,69.80360413--80.84629059,83.43882751--93.78036499
3987,84.73588562--123.22076416,42.68847275--57.40068817,69.59308624--80.38329315,84.07331085--93.70505524
3988,85.05291748--122.87208557,45.67070770--56.62824631,68.93623352--79.94745636,84.88778687--93.60270691
3989,85.58079529--122.87714386,49.10033035--55.91876602,68.12525940--79.47090149,85.72824097--93.56586456
3990,86.18940735--123.19226837,51.97895432--55.48876190,67.41877747--79.09875488,86.41322327--93.57696533
3991,86.68290710--123.61975861,54.26829529--55.24243927,66.81653595--78.90306854,86.94995880--93.57531738
3992,86.97381592--124.00243378,56.12630081--55.08189774,66.35619354--78.71945953,87.42978668--93.62352753
3993,87.17539978--124.33763885,57.58483505--54.92666626,65.97552490--78.65649414,87.73038483--93.64386749
3994,87.29350281--124.66110992,58.79689407--54.78388596,65.61490631--78.73334503,87.89995575--93.63668823
3995,87.36016083--124.96825409,59.73182297--54.69612503,65.29547119--78.88196564,87.97637939--93.61036682
3996,87.38769531--125.25573730,60.44537735--54.65615845,65.00997162--79.09257507,87.97755432--93.54978943
3997,87.38407898--125.51007843,61.03300095--54.63275146,64.74657440--79.33513641,87.94848633--93.47126007
3998,87.36750793--125.73843384,61.52994156--54.61601639,64.50552368--79.59278870,87.88822937--93.38653564
3999,87.34004211--125.96456146,61.97191238--54.60465240,64.27028656--79.88822937,87.78409576--93.28958130
4000,87.30297089--126.18209076,62.33730698--54.60625076,64.04994202--80.20556641,87.65193176--93.18803406
4001,87.25988770--126.38861084,62.62270737--54.61899567,63.84988403--80.53555298,87.49495697--93.08483887
4002,87.21131897--126.58255768,62.83447647--54.64011765,63.67093658--80.87157440,87.31967163--92.98379517
4003,87.15880585--126.76390076,62.97406387--54.66909409,63.51452637--81.20757294,87.12924194--92.88791656
4004,87.10160065--126.94270325,63.03096771--54.71006393,63.37938309--81.55435181,86.90907288--92.79475403
4005,87.03828430--127.10942078,62.95804977--54.77145004,63.28126526--81.90122223,86.66297913--92.71031189
4006,86.96794128--127.25531769,62.71960068--54.85704422,63.23386765--82.23623657,86.39243317--92.64006805
4007,86.88888550--127.37464142,62.28589249--54.97041702,63.24747849--82.55165100,86.09640503--92.58834839
4008,86.79867554--127.46268463,61.62800980--55.11552811,63.33106995--82.84243011,85.77267456--92.55866241
4009,86.69592285--127.51613617,60.67858505--55.30411911,63.50322723--83.10616302,85.40490723--92.55442810
4010,86.57173157--127.52178955,59.37931442--55.54351044,63.78159714--83.33522797,84.99311829--92.58296967
4011,86.41838837--127.47066498,57.72087479--55.83160782,64.17013550--83.52298737,84.54307556--92.64856720
4012,86.23135376--127.35929108,55.72571564--56.16263199,64.66387177--83.66539001,84.06332397--92.75205231
4013,86.01150513--127.18484497,53.44494247--56.52981567,65.25389862--83.74781036,83.57262421--92.89172363
4014,85.80965424--126.89730072,51.07112503--56.91621780,65.93400574--83.55230713,83.19268799--93.05664062
4015,85.60728455--126.51095581,48.57198715--57.28889465,66.69874573--83.18900299,82.88989258--93.23132324
4016,85.37667847--126.03412628,46.03896713--57.64638901,67.54347992--82.68511200,82.71416473--93.41738892
4017,85.09687805--125.49010468,43.61116791--57.99007797,68.47222900--82.08972931,82.73863220--93.61144257
4018,84.86466980--124.87473297,41.51177597--58.23638535,69.32617188--81.54856110,82.82035828--93.76548767
4019,84.62966919--124.17427826,40.85650635--58.13545609,69.75220490--81.09958649,83.16416931--93.79534912
4020,84.63761902--123.51609039,41.63802338--57.73221207,69.76899719--80.64768982,83.69284058--93.75138855
4021,84.84990692--123.01811981,43.78393936--57.09286499,69.37541962--80.17595673,84.40762329--93.66579437
4022,85.25294495--122.81637573,47.29669189--56.26026917,68.54734039--79.76390076,85.28009796--93.56147766
4023,85.84751892--122.97379303,50.53430176--55.67168427,67.78038788--79.25159454,86.07749939--93.57208252
4024,86.44989777--123.38759613,53.07342148--55.36474228,67.13670349--79.00064850,86.66590118--93.57733154
4025,86.82934570--123.79675293,55.15156937--55.17067337,66.60236359--78.80028534,87.18780518--93.60035706
4026,87.07709503--124.14803314,56.81804657--55.00967026,66.18434906--78.66498566,87.59048462--93.63668823
4027,87.23758698--124.48264313,58.14339066--54.86254501,65.81526184--78.67679596,87.81121826--93.64255524
4028,87.32537842--124.80255890,59.26845551--54.73149490,65.45912170--78.80030060,87.94697571--93.62521362
4029,87.37752533--125.10157776,60.07924271--54.67443466,65.16207123--78.96960449,87.98398590--93.58837128
4030,87.38954163--125.37314606,60.72374725--54.64442444,64.88932037--79.19644165,87.97091675--93.51644897
4031,87.37905884--125.61164093,61.26416397--54.62413788,64.63863373--79.44248199,87.92968750--93.43585205
4032,87.35758972--125.83846283,61.73373413--54.60958481,64.40105438--79.71746826,87.84729767--93.34523010
4033,87.32406616--126.06636810,62.15219498--54.60268402,64.16624451--80.03273010,87.72506714--93.24282837
4034,87.28379822--126.27798462,62.47756958--54.61103821,63.95566559--80.35546875,87.58313751--93.14093018
4035,87.23863220--126.47708893,62.72713852--54.62761307,63.76668167--80.68607330,87.41905212--93.03903961
4036,87.18865204--126.66326141,62.90645981--54.65161896,63.59898758--81.01909637,87.23924255--92.94107056
4037,87.13445282--126.84329224,63.01354980--54.68481827,63.45126724--81.35906982,87.03640747--92.84632111
4038,87.07418823--127.02153778,63.01875687--54.73462677,63.32868958--81.71262360,86.79934692--92.75465393
4039,87.00716400--127.17929840,62.87158585--54.80746460,63.25257111--82.05637360,86.54235840--92.67612457
4040,86.93305969--127.31264496,62.54999924--54.90452957,63.23164749--82.38198090,86.26242065--92.61419678
4041,86.84970856--127.41761017,62.02562332--55.03016281,63.27454758--82.68482208,85.95726013--92.57226562
4042,86.75498962--127.49144745,61.25052643--55.19253922,63.39426422--82.96338654,85.61608887--92.55314636
4043,86.64496613--127.52583313,60.13789368--55.40596390,63.61554337--83.21265411,85.22381592--92.56263733
4044,86.50654602--127.50594330,58.66718674--55.66923141,63.94550323--83.42516327,84.79251099--92.60807800
4045,86.33700562--127.42786407,56.85718918--55.97640610,64.38069916--83.59435272,84.32875061--92.69078064
4046,86.13392639--127.29037476,54.73626328--56.32238388,64.91496277--83.71698761,83.84152985--92.81021881
4047,85.92253113--127.06780243,52.41505814--56.69958878,65.54438019--83.67713165,83.39804077--92.96234894
4048,85.72283173--126.73701477,49.96416092--57.08558273,66.26830292--83.40678406,83.04774475--93.13381958
4049,85.51270294--126.30057526,47.43440247--57.44495010,67.06271362--82.97074127,82.78628540--93.31083679
4050,85.25355530--125.80530548,44.92090988--57.81368256,67.96273804--82.42928314,82.71015930--93.50936890
4051,84.98974609--125.23152161,42.59692383--58.12392044,68.87118530--81.85448456,82.75657654--93.68911743
4052,84.74749756--124.57843781,41.10715485--58.22337723,69.54459381--81.35026550,82.95564270--93.79156494
4053,84.61907196--123.88162231,41.06678009--57.98917007,69.80024719--80.89392853,83.38504028--93.78507996
4054,84.71501160--123.27289581,42.47212601--57.46645737,69.63252258--80.43093872,84.00172424--93.71449280
4055,85.01293182--122.89313507,45.30845261--56.71458817,69.02230072--79.98763275,84.79901123--93.61381531
4056,85.52006531--122.85993195,48.75939560--55.98050308,68.20700836--79.52201080,85.64514160--93.56469727
4057,86.12588501--123.14661407,51.70985031--55.52024841,67.48782349--79.12316132,86.35137939--93.57591248
4058,86.64521790--123.57692719,54.04679489--55.26012421,66.86959839--78.93040466,86.88916779--93.56877136
4059,86.94651794--123.96797180,55.95504761--55.09917831,66.39744568--78.73680115,87.38763428--93.61965179
4060,87.15869904--124.30436707,57.45069504--54.94210815,66.01234436--78.65611267,87.70839691--93.64312744
4061,87.28475952--124.62821198,58.68090057--54.79788208,65.65177917--78.71965790,87.88689423--93.63873291
4062,87.35522461--124.93647003,59.64646912--54.70199203,65.32726288--78.86261749,87.97358704--93.61473083
4063,87.38680267--125.22731018,60.37653732--54.65933228,65.03913879--79.06848907,87.97826385--93.55737305
4064,87.38493347--125.48589325,60.97651291--54.63494492,64.77233124--79.31082916,87.95166779--93.47920227
4065,87.36936951--125.71556091,61.48165131--54.61764526,64.52952576--79.56563568,87.89610291--93.39554596
4066,87.34336853--125.94099426,61.92832947--54.60552216,64.29450989--79.85585785,87.79679871--93.30014801
4067,87.30722046--126.15950775,62.30274582--54.60541916,64.07229614--80.17119598,87.66735840--93.19891357
4068,87.26475525--126.36742401,62.59623337--54.61720657,63.87001801--80.50029755,87.51242065--93.09569550
4069,87.21654510--126.56341553,62.81578445--54.63763046,63.68834305--80.83712006,87.33796692--92.99390411
4070,87.16429138--126.74568939,62.96266556--54.66582108,63.52965164--81.17308807,87.14958191--92.89752197
4071,87.10769653--126.92429352,63.02974319--54.70508957,63.39213562--81.51808929,86.93340302--92.80419922
4072,87.04519653--127.09264374,62.97301102--54.76387405,63.28939819--81.86511993,86.69014740--92.71863556
4073,86.97574615--127.24108887,62.75349808--54.84677124,63.23614502--82.20172882,86.42214203--92.64668274
4074,86.89770508--127.36373901,62.34037018--54.95734787,63.24311829--82.51988983,86.12808228--92.59272766
4075,86.80854797--127.45510864,61.70675659--55.09902573,63.31906891--82.81360626,85.80747986--92.56065369
4076,86.70709991--127.51249695,60.79217148--55.28229904,63.48068619--83.08054352,85.44515991--92.55351257
4077,86.58575439--127.52373505,59.53264999--55.51598740,63.74708939--83.31337738,85.03819275--92.57829285
4078,86.43600464--127.47885132,57.91180038--55.79916000,64.12413788--83.50542450,84.59197235--92.63988495
4079,86.25288391--127.37366486,55.94784927--56.12644196,64.60803986--83.65225220,84.11441803--92.73954773
4080,86.03367615--127.20792389,53.68386078--56.49085617,65.18910980--83.75243378,83.61814880--92.87590027
4081,85.83023071--126.93120575,51.32355499--56.87640762,65.85951996--83.57987976,83.22894287--93.03897095
4082,85.62874603--126.55606079,48.83430099--57.25146103,66.61633301--83.23423767,82.91696167--93.21288300
4083,85.40460205--126.08339691,46.30385208--57.60459518,67.44627380--82.74000549,82.71906281--93.39510345
4084,85.12518311--125.55045319,43.85598755--57.95737839,68.37654114--82.15048981,82.73351288--93.59277344
4085,84.89076996--124.94271088,41.66572189--58.22655106,69.25666809--81.60047150,82.79965973--93.75502777
4086,84.64273834--124.24707031,40.86289597--58.15958023,69.72499847--81.14654541,83.12060547--93.79632568
4087,84.62834930--123.58026123,41.49283981--57.78679276,69.78626251--80.69531250,83.62901306--93.75897217
4088,84.81904602--123.05866241,43.48897552--57.17117310,69.43867493--80.22258759,84.32414246--93.67613220
4089,85.19938660--122.82036591,46.93432236--56.33768845,68.63275146--79.81270599,85.19154358--93.56684875
4090,85.78759766--122.94962311,50.23049545--55.72274780,67.85289001--79.30036163,86.00357056--93.57221985
4091,86.39611816--123.34569550,52.83473587--55.39313126,67.19923401--79.01866913,86.61230469--93.57905579
4092,86.79936218--123.75734711,54.95509720--55.18784714,66.65121460--78.81932068,87.13719177--93.59484100
4093,87.05549622--124.11347198,56.66349792--55.02607727,66.22420502--78.67306519,87.55737305--93.63401794
4094,87.22457886--124.44913483,58.01760864--54.87642288,65.85231018--78.67022705,87.79315186--93.64312744
4095,87.31828308--124.77130127,59.16726303--54.74178696,65.49285126--78.78617096,87.93659973--93.62764740
4096,87.37388611--125.07199860,60.00375748--54.67901230,65.19145966--78.94937134,87.98324585--93.59396362
4097,87.38962555--125.34648132,60.66193008--54.64699936,64.91673279--79.17152405,87.97382355--93.52452087
4098,87.38070679--125.58794403,61.21216202--54.62590027,64.66368103--79.41610718,87.93550110--93.44450378
4099,87.36030579--125.81520844,61.68792725--54.61075211,64.42524719--79.68750763,87.85760498--93.35509491
