,Coin 0,Coin 1,Coin 2,Coin 3
175,87.30678558--126.16099548,62.30310440--54.60557175,64.07134247--80.17378998,87.66506195--93.19812775
176,87.26429749--126.36777496,62.59465408--54.61779404,63.86991882--80.50157166,87.51176453--93.09542847
177,87.21665192--126.56142426,62.81291580--54.63784409,63.68996429--80.83457947,87.34002686--92.99477386
178,87.16490173--126.74309540,62.96136093--54.66535187,63.53154755--81.16867828,87.15258789--92.89879608
179,87.10830688--126.92352295,63.03039932--54.70455551,63.39276886--81.51580048,86.93434906--92.80468750
180,87.04534912--127.09336090,62.97214508--54.76414108,63.28945160--81.86560822,86.68884277--92.71841431
181,86.97546387--127.24121094,62.75103378--54.84732819,63.23659134--82.20236206,86.42138672--92.64662933
182,86.89744568--127.36268616,62.34192657--54.95682526,63.24305344--82.51882935,86.13004303--92.59310150
183,86.80901337--127.45407867,61.71515656--55.09716034,63.31758118--82.81124115,85.81132507--92.56092834
184,86.70855713--127.51234436,60.80027008--55.28079605,63.47930145--83.07811737,85.44777679--92.55339813
185,86.58717346--127.52372742,59.53237534--55.51618958,63.74779510--83.31149292,85.03834534--92.57826233
186,86.43601990--127.47849274,57.90882874--55.79964066,64.12513733--83.50473785,84.59173584--92.64006805
187,86.25196075--127.37395477,55.95465469--56.12505341,64.60579681--83.65322113,84.11595154--92.73928833
188,86.03376007--127.20966339,53.70282364--56.48763657,65.18336487--83.75413513,83.62140656--92.87476349
189,85.83201599--126.93377686,51.34252548--56.87349319,65.85394287--83.58211517,83.23159790--93.03771973
190,85.63124084--126.55765533,48.84656906--57.24991226,66.61318970--83.23464966,82.91937256--93.21234131
191,85.40691376--126.08386993,46.31012344--57.60366821,67.44488525--82.73880768,82.72059631--93.39480591
192,85.12634277--125.55155182,43.85715866--57.95718002,68.37596130--82.15071869,82.73240662--93.59221649
193,84.88985443--124.94517517,41.66492844--58.22677231,69.25533295--81.60417938,82.79598999--93.75415039
194,84.64102173--124.25066376,40.85911179--58.16128159,69.72396088--81.15201569,83.11616516--93.79629517
195,84.62628174--123.58399200,41.49567032--57.78784180,69.78338623--80.70066071,83.62759399--93.75926208
196,84.81903076--123.06291962,43.49906921--57.17121506,69.43424225--80.22575378,84.32533264--93.67656708
197,85.20140839--122.82470703,46.93504333--56.34007645,68.63201904--79.81182098,85.19232178--93.56806183
198,85.78878021--122.95111847,50.21527481--55.72728348,67.85754395--79.29804230,86.00186157--93.57291412
199,86.39443970--123.34291840,52.81412506--55.39642715,67.20578003--79.01683044,86.60921478--93.57884216
200,86.79708862--123.75383759,54.93892670--55.18868637,66.65547180--78.82076263,87.13267517--93.59367371
201,87.05323029--124.11168671,56.65568542--55.02602005,66.22557068--78.67597198,87.55393982--93.63323975
202,87.22319794--124.44848633,58.01511765--54.87635422,65.85233307--78.67224884,87.79178619--93.64286804
203,87.31790161--124.77014160,59.16411591--54.74232864,65.49385071--78.78544617,87.93696594--93.62809753
204,87.37416840--125.06977081,59.99914169--54.67944717,65.19372559--78.94656372,87.98446655--93.59481812
205,87.39006805--125.34432220,60.65771866--54.64706039,64.91903687--79.16876984,87.97452545--93.52529144
206,87.38087463--125.58687592,61.20983505--54.62579346,64.66490936--79.41497040,87.93530273--93.44481659
207,87.36020660--125.81494904,61.68688202--54.61073685,64.42562103--79.68749237,87.85717773--93.35511780
208,87.32781982--126.04318237,62.11172485--54.60291672,64.18992615--79.99943542,87.73866272--93.25358582
209,87.28835297--126.25516510,62.44494629--54.60994339,63.97786713--80.31951141,87.60027313--93.15224457
210,87.24396515--126.45525360,62.70280838--54.62535477,63.78683853--80.64862823,87.43862915--93.05035400
211,87.19440460--126.64350891,62.89075851--54.64844131,63.61621857--80.98246002,87.25962067--92.95154572
212,87.14050293--126.82457733,63.00639343--54.68065643,63.46582794--81.32260132,87.05895233--92.85616302
213,87.08077240--127.00363922,63.02416992--54.72851944,63.33974838--81.67584229,86.82510376--92.76375580
214,87.01454926--127.16300201,62.89482498--54.79856491,63.25848389--82.01992035,86.57155609--92.68398285
215,86.94152832--127.29899597,62.59535599--54.89234543,63.23091125--82.34696960,86.29493713--92.62017822
216,86.85955048--127.40764618,62.09463501--55.01471329,63.26634979--82.65259552,85.99217224--92.57578278
217,86.76610565--127.48534393,61.34736252--55.17314529,63.37735748--82.93448639,85.65451813--92.55392456
218,86.65776062--127.52455902,60.27131271--55.38117981,63.58735657--83.18785095,85.26706696--92.56005859
219,86.52224731--127.51071930,58.84228134--55.63856888,63.90461731--83.40485382,84.84075928--92.60147095
220,86.35664368--127.43937683,57.07266998--55.94044113,64.32742310--83.57878876,84.38105011--92.67987823
221,86.15808105--127.30846405,54.98389053--56.28257370,64.85150146--83.70589447,83.89584351--92.79531097
222,85.94488525--127.09767151,52.66859818--56.65812683,65.47247314--83.69597626,83.43978882--92.94478607
223,85.74462891--126.77693176,50.23005676--57.04551697,66.18762970--83.44328308,83.08126831--93.11521912
224,85.53567505--126.35254669,47.70389557--57.40887070,66.97570038--83.02499390,82.80902100--93.29202271
225,85.28273010--125.86265564,45.18424606--57.77552795,67.86231995--82.49375153,82.70800781--93.48775482
226,85.01422119--125.29689789,42.83561325--58.09408188,68.77525330--81.91445923,82.74942017--93.67123413
227,84.77470398--124.65345001,41.19415665--58.23054886,69.49394989--81.39952850,82.92076111--93.78716278
228,84.62052917--123.95357513,41.00224686--58.02879715,69.79265594--80.94264221,83.33114624--93.78915405
229,84.69548798--123.32939148,42.25388336--57.53396988,69.67134857--80.48030853,83.92692566--93.72414398
230,84.97204590--122.91779327,44.92537308--56.80678940,69.11318207--80.03005219,84.70401001--93.62586975
231,85.45480347--122.84323883,48.39635849--56.04691315,68.29347229--79.57802582,85.55587769--93.56326294
232,86.05709839--123.09894562,51.42548752--55.55345154,67.55995941--79.15126801,86.28523254--93.57431793
233,86.60102844--123.53409576,53.81184769--55.28348923,66.93093109--78.95911407,86.83096313--93.56632996
234,86.91735077--123.92987061,55.77219009--55.11673355,66.44216156--78.75420380,87.34245300--93.61541748
235,87.14064026--124.26839447,57.30649185--54.95838547,66.05193329--78.65606689,87.68394470--93.64234924
236,87.27506256--124.59315491,58.55524826--54.81326675,65.69127655--78.70592499,87.87181091--93.64060211
237,87.34936523--124.90325165,59.55600739--54.70839310,65.36030579--78.84397125,87.96942139--93.61851501
238,87.38540649--125.19712830,60.30322647--54.66301346,65.06979370--79.04358673,87.97889709--93.56520844
239,87.38576508--125.45999146,60.91666794--54.63721085,64.79963684--79.28505707,87.95516968--93.48757935
240,87.37136841--125.69120789,61.43040848--54.61931229,64.55502319--79.53684998,87.90430450--93.40509033
241,87.34687805--125.91603088,61.88174057--54.60651016,64.32027435--79.82172394,87.80998230--93.31130219
242,87.31161499--126.13608551,62.26627350--54.60459518,64.09564972--80.13577271,87.68286133--93.21012115
243,87.26972961--126.34523010,62.56773758--54.61548996,63.89119720--80.46371460,87.53041077--93.10702515
244,87.22196960--126.54312897,62.79550171--54.63506317,63.70682526--80.80095673,87.35713196--93.00457764
245,87.17005920--126.72634888,62.95006943--54.66241074,63.54579926--81.13669586,87.17094421--92.90773010
246,87.11412048--126.90473938,63.02731705--54.69999695,63.40595245--81.47971344,86.95888519--92.81427765
247,87.05241394--127.07505035,62.98697281--54.75621414,63.29838562--81.82734680,86.71804810--92.72741699
248,86.98377991--127.22599030,62.78647995--54.83641434,63.23923111--82.16556549,86.45275879--92.65375519
249,86.90676117--127.35196686,62.39503860--54.94398880,63.23926544--82.48644257,86.16098785--92.59754944
250,86.81874847--127.44675446,61.78696060--55.08203506,63.30724335--82.78305054,85.84376526--92.56300354
251,86.71871948--127.50814056,60.90842438--55.25978851,63.45802307--83.05309296,85.48722839--92.55289459
252,86.60037231--127.52516937,59.68880081--55.48781204,63.71237946--83.28980255,85.08483887--92.57380676
253,86.45400238--127.48667145,58.10681152--55.76584625,64.07746887--83.48648834,84.64260864--92.63127899
254,86.27487183--127.38799286,56.17662048--56.08902359,64.55074310--83.63811493,84.16755676--92.72689819
255,86.05918121--127.22875214,53.94263077--56.44962692,65.12162018--83.74372101,83.67253113--92.85939026
256,85.85289001--126.96555328,51.59006500--56.83344269,65.78211975--83.60494232,83.26910400--93.02008057
257,85.65144348--126.60214233,49.11138535--57.21128464,66.53002930--83.27936554,82.94712830--93.19339752
258,85.43399048--126.13392639,46.58921051--57.55866623,67.34269714--82.79586792,82.72680664--93.37104797
259,85.15863037--125.61708832,44.12109756--57.92309952,68.27239990--82.22236633,82.72573853--93.57311249
260,84.91590881--125.01720428,41.89461136--58.20341873,69.16126251--81.66316986,82.78948975--93.74013519
261,84.66938782--124.33170319,40.91418076--58.17906570,69.68330383--81.19386292,83.08044434--93.79729462
262,84.62623596--123.65438843,41.36740875--57.84151459,69.79658508--80.74018860,83.56773376--93.76660156
263,84.79051208--123.10809326,43.22577667--57.24424744,69.49021912--80.27424622,84.24253845--93.68411255
264,85.15092468--122.83446503,46.52394104--56.43052292,68.73161316--79.85562897,85.09341431--93.57833862
265,85.72119904--122.92476654,49.87612152--55.78285599,67.93809509--79.35517883,85.91688538--93.56953430
266,86.33174133--123.29792023,52.57524490--55.42125702,67.26531982--79.04456329,86.55104065--93.57851410
267,86.76441956--123.71567535,54.75011826--55.20423508,66.70048523--78.84456635,87.08148193--93.58927917
268,87.03161621--124.07970428,56.49982834--55.04368973,66.26487732--78.68550110,87.51939392--93.63127136
269,87.21023560--124.41396332,57.88246155--54.89238739,65.89156342--78.66357422,87.77513885--93.64389801
270,87.31114960--124.73653412,59.05255508--54.75441742,65.53131866--78.76846313,87.92591858--93.63073730
